"source","target","claim_type","pathway","direction","strength","confidence","established","quote"
"LayoutGeometry","BaselineInteraction","causal_effect",NA,"positive","high","high",TRUE,"LayoutGeometry → BaselineInteraction"
"TurbineInteraction","FarmEfficiency","causal_effect",NA,"positive","high","high",TRUE,"TurbineInteraction → FarmEfficiency"
"AtmosphericStability","PredictionAccuracy","causal_effect",NA,"positive","high","high",TRUE,"AtmosphericStability → PredictionAccuracy"
"PowerGeneration","GridDemand","causal_effect",NA,"positive","high","high",TRUE,"PowerGeneration → GridDemand"
"ControlStrategy","PowerGeneration","causal_effect",NA,"positive","high","high",TRUE,"ControlStrategy → PowerGeneration"
"WindDirection","WakePattern","causal_effect",NA,"positive","high","high",TRUE,"WindDirection → WakePattern"
"GridDemand","OperationPrice","causal_effect",NA,"positive","high","high",TRUE,"GridDemand → OperationPrice"
"TurbineLoads","ControlStrategy","causal_effect",NA,"positive","high","high",TRUE,"TurbineLoads → ControlStrategy"
"Noise1","Var1","causal_effect",NA,"positive","low","low",FALSE,"Noise1 → Var1"
"Noise2","Var2","causal_effect",NA,"positive","low","low",FALSE,"Noise2 → Var2"
