"source","target","claim_type","pathway","direction","strength","confidence","established","quote"
"GridDemand","OperationPrice","causal_effect",NA,"positive","high","high",TRUE,"GridDemand → OperationPrice"
"WindDirection","WakePattern","causal_effect",NA,"positive","high","high",TRUE,"WindDirection → WakePattern"
"WakePattern","TurbineLoads","causal_effect",NA,"positive","high","high",TRUE,"WakePattern → TurbineLoads"
"TurbineInteraction","FarmEfficiency","causal_effect",NA,"positive","high","high",TRUE,"TurbineInteraction → FarmEfficiency"
"LayoutGeometry","BaselineInteraction","causal_effect",NA,"positive","high","high",TRUE,"LayoutGeometry → BaselineInteraction"
"ControlStrategy","PowerGeneration","causal_effect",NA,"positive","high","high",TRUE,"ControlStrategy → PowerGeneration"
"PowerGeneration","GridDemand","causal_effect",NA,"positive","high","high",TRUE,"PowerGeneration → GridDemand"
"TurbineLoads","ControlStrategy","causal_effect",NA,"positive","high","high",TRUE,"TurbineLoads → ControlStrategy"
"Noise1","Var1","causal_effect",NA,"positive","low","low",FALSE,"Noise1 → Var1"
"Noise2","Var2","causal_effect",NA,"positive","low","low",FALSE,"Noise2 → Var2"
