"state","state_name","year","overdose_deaths_total","heroin_deaths","natural_semisynth_deaths","synthetic_opioid_deaths","arcos_total_pills_2006_2014"
"AK","Alaska",2015,121,NA,NA,NA,138652246
"AK","Alaska",2016,129,49,46,NA,138652246
"AK","Alaska",2017,141,36,46,37,138652246
"AK","Alaska",2018,105,28,33,16,138652246
"AK","Alaska",2019,133,45,41,23,138652246
"AK","Alaska",2020,146,31,37,61,138652246
"AK","Alaska",2021,255,66,74,150,138652246
"AK","Alaska",2022,247,40,49,156,138652246
"AK","Alaska",2023,357,16,34,270,138652246
"AK","Alaska",2024,339,NA,28,255,138652246
"AK","Alaska",2025,331,NA,36,217,138652246
"AL","Alabama",2015,720,NA,NA,NA,1703752770
"AL","Alabama",2016,740,NA,NA,NA,1703752770
"AL","Alabama",2017,807,NA,NA,NA,1703752770
"AL","Alabama",2018,740,NA,NA,NA,1703752770
"AL","Alabama",2019,739,NA,NA,NA,1703752770
"AL","Alabama",2020,989,NA,NA,NA,1703752770
"AL","Alabama",2021,1333,NA,NA,NA,1703752770
"AL","Alabama",2022,1452,46,143,971,1703752770
"AL","Alabama",2023,1598,40,153,1099,1703752770
"AL","Alabama",2024,1176,17,104,714,1703752770
"AL","Alabama",2025,865,NA,82,431,1703752770
"AR","Arkansas",2015,381,NA,NA,NA,896283373
"AR","Arkansas",2016,386,NA,NA,NA,896283373
"AR","Arkansas",2017,425,NA,NA,NA,896283373
"AR","Arkansas",2018,433,NA,NA,NA,896283373
"AR","Arkansas",2019,362,NA,NA,NA,896283373
"AR","Arkansas",2020,514,NA,NA,NA,896283373
"AR","Arkansas",2021,627,NA,NA,NA,896283373
"AR","Arkansas",2022,591,NA,96,292,896283373
"AR","Arkansas",2023,517,NA,77,269,896283373
"AR","Arkansas",2024,389,NA,47,125,896283373
"AR","Arkansas",2025,373,NA,59,114,896283373
"AZ","Arizona",2015,1267,NA,NA,NA,1720300162
"AZ","Arizona",2016,1393,NA,NA,NA,1720300162
"AZ","Arizona",2017,1555,341,350,263,1720300162
"AZ","Arizona",2018,1730,368,313,527,1720300162
"AZ","Arizona",2019,1981,282,309,824,1720300162
"AZ","Arizona",2020,2644,219,318,1519,1720300162
"AZ","Arizona",2021,2780,105,257,1792,1720300162
"AZ","Arizona",2022,2737,50,211,1776,1720300162
"AZ","Arizona",2023,2720,46,200,1836,1720300162
"AZ","Arizona",2024,2531,35,205,1525,1720300162
"AZ","Arizona",2025,2978,45,249,2018,1720300162
"CA","California",2015,4762,NA,NA,NA,8057292038
"CA","California",2016,4755,NA,NA,NA,8057292038
"CA","California",2017,5028,NA,NA,NA,8057292038
"CA","California",2018,5494,NA,NA,NA,8057292038
"CA","California",2019,6363,1004,935,1727,8057292038
"CA","California",2020,9209,1021,1005,4195,8057292038
"CA","California",2021,11398,798,1044,6411,8057292038
"CA","California",2022,11761,524,955,7045,8057292038
"CA","California",2023,12369,341,827,7954,8057292038
"CA","California",2024,9687,259,695,5265,8057292038
"CA","California",2025,9017,206,677,4632,8057292038
"CO","Colorado",2015,913,NA,NA,NA,1022073725
"CO","Colorado",2016,965,NA,NA,NA,1022073725
"CO","Colorado",2017,1040,NA,NA,NA,1022073725
"CO","Colorado",2018,1004,234,224,130,1022073725
"CO","Colorado",2019,1100,218,238,251,1022073725
"CO","Colorado",2020,1512,228,270,586,1022073725
"CO","Colorado",2021,1917,190,290,987,1022073725
"CO","Colorado",2022,1856,64,221,992,1022073725
"CO","Colorado",2023,1926,35,199,1184,1022073725
"CO","Colorado",2024,1640,32,193,817,1022073725
"CO","Colorado",2025,1817,27,165,1043,1022073725
"CT","Connecticut",2015,799,394,182,214,675475731
"CT","Connecticut",2016,974,459,214,508,675475731
"CT","Connecticut",2017,1080,428,186,696,675475731
"CT","Connecticut",2018,1070,342,158,779,675475731
"CT","Connecticut",2019,1231,346,209,974,675475731
"CT","Connecticut",2020,1385,203,217,1150,675475731
"CT","Connecticut",2021,1562,114,189,1303,675475731
"CT","Connecticut",2022,1476,96,191,1253,675475731
"CT","Connecticut",2023,1330,86,151,1121,675475731
"CT","Connecticut",2024,998,50,119,766,675475731
"CT","Connecticut",2025,854,34,118,584,675475731
"DC","District of Columbia",2015,144,83,21,28,58184205
"DC","District of Columbia",2016,300,146,42,147,58184205
"DC","District of Columbia",2017,348,144,37,203,58184205
"DC","District of Columbia",2018,295,93,28,182,58184205
"DC","District of Columbia",2019,367,98,24,255,58184205
"DC","District of Columbia",2020,511,106,38,384,58184205
"DC","District of Columbia",2021,541,66,32,397,58184205
"DC","District of Columbia",2022,575,49,41,433,58184205
"DC","District of Columbia",2023,635,56,35,493,58184205
"DC","District of Columbia",2024,408,26,25,315,58184205
"DC","District of Columbia",2025,354,16,15,222,58184205
"DE","Delaware",2015,195,NA,NA,NA,276177276
"DE","Delaware",2016,285,NA,NA,NA,276177276
"DE","Delaware",2017,341,NA,NA,NA,276177276
"DE","Delaware",2018,399,147,65,300,276177276
"DE","Delaware",2019,423,109,50,336,276177276
"DE","Delaware",2020,449,92,50,367,276177276
"DE","Delaware",2021,502,67,47,409,276177276
"DE","Delaware",2022,544,56,34,450,276177276
"DE","Delaware",2023,527,27,29,442,276177276
"DE","Delaware",2024,351,21,29,269,276177276
"DE","Delaware",2025,327,14,29,234,276177276
"FL","Florida",2015,3352,NA,NA,NA,5556554674
"FL","Florida",2016,4996,NA,NA,NA,5556554674
"FL","Florida",2017,5440,NA,NA,NA,5556554674
"FL","Florida",2018,4936,NA,NA,NA,5556554674
"FL","Florida",2019,5524,714,1113,3039,5556554674
"FL","Florida",2020,7568,NA,NA,NA,5556554674
"FL","Florida",2021,8163,365,1046,5602,5556554674
"FL","Florida",2022,7894,160,920,5326,5556554674
"FL","Florida",2023,7330,68,816,4801,5556554674
"FL","Florida",2024,5151,NA,NA,NA,5556554674
"FL","Florida",2025,4071,27,503,1940,5556554674
"GA","Georgia",2015,1308,228,444,293,2270981904
"GA","Georgia",2016,1370,215,455,271,2270981904
"GA","Georgia",2017,1516,262,512,406,2270981904
"GA","Georgia",2018,1375,312,388,330,2270981904
"GA","Georgia",2019,1378,307,367,383,2270981904
"GA","Georgia",2020,1868,394,439,856,2270981904
"GA","Georgia",2021,2438,325,494,1379,2270981904
"GA","Georgia",2022,2619,157,467,1657,2270981904
"GA","Georgia",2023,2520,104,376,1642,2270981904
"GA","Georgia",2024,2010,53,308,1074,2270981904
"GA","Georgia",2025,1655,35,241,753,2270981904
"HI","Hawaii",2015,171,NA,NA,NA,218979759
"HI","Hawaii",2016,199,20,46,11,218979759
"HI","Hawaii",2017,202,NA,NA,NA,218979759
"HI","Hawaii",2018,212,15,28,15,218979759
"HI","Hawaii",2019,245,19,25,19,218979759
"HI","Hawaii",2020,276,24,26,34,218979759
"HI","Hawaii",2021,267,18,32,48,218979759
"HI","Hawaii",2022,283,12,22,75,218979759
"HI","Hawaii",2023,321,14,21,110,218979759
"HI","Hawaii",2024,337,NA,26,108,218979759
"HI","Hawaii",2025,315,NA,12,77,218979759
"IA","Iowa",2015,300,43,75,44,562929715
"IA","Iowa",2016,314,44,85,55,562929715
"IA","Iowa",2017,341,64,91,97,562929715
"IA","Iowa",2018,277,36,53,78,562929715
"IA","Iowa",2019,350,40,53,101,562929715
"IA","Iowa",2020,419,52,54,162,562929715
"IA","Iowa",2021,471,35,67,213,562929715
"IA","Iowa",2022,473,25,55,203,562929715
"IA","Iowa",2023,447,10,65,194,562929715
"IA","Iowa",2024,427,NA,54,125,562929715
"IA","Iowa",2025,372,12,50,79,562929715
"ID","Idaho",2015,214,NA,NA,NA,384943300
"ID","Idaho",2016,228,NA,NA,NA,384943300
"ID","Idaho",2017,234,NA,NA,NA,384943300
"ID","Idaho",2018,243,NA,NA,NA,384943300
"ID","Idaho",2019,264,NA,NA,NA,384943300
"ID","Idaho",2020,280,NA,NA,NA,384943300
"ID","Idaho",2021,345,19,85,150,384943300
"ID","Idaho",2022,362,NA,69,186,384943300
"ID","Idaho",2023,367,NA,65,200,384943300
"ID","Idaho",2024,326,NA,79,125,384943300
"ID","Idaho",2025,294,NA,77,119,384943300
"IL","Illinois",2015,1864,876,263,277,1942223756
"IL","Illinois",2016,2427,1069,378,927,1942223756
"IL","Illinois",2017,2765,1215,484,1260,1942223756
"IL","Illinois",2018,2732,1090,404,1593,1942223756
"IL","Illinois",2019,2775,1001,413,1714,1942223756
"IL","Illinois",2020,3531,1080,513,2478,1942223756
"IL","Illinois",2021,3786,801,512,2758,1942223756
"IL","Illinois",2022,3863,546,425,2946,1942223756
"IL","Illinois",2023,3537,436,361,2654,1942223756
"IL","Illinois",2024,2521,345,267,1668,1942223756
"IL","Illinois",2025,1961,242,206,1084,1942223756
"IN","Indiana",2015,1232,NA,NA,NA,2123674419
